"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.346710063420055,0.60934916769756,0.42034457498909,0.63840086525762,1,0.0206472764208313,0,0,0.723661022963938,0,0.574787339396185,1,0.587673295159705,0,0.568270673016447,1,1,0,0,0
0.229715762827319,0.537836274798395,0.290515538315607,0.571106208622162,0.280159235348123,0.0140592375321851,0,0.235163188058431,0.588720639617376,0.446053671840765,0.469140059398004,1,0,0.529980188123022,0.450997895339785,1,0,0.0947838749838918,0.14103897705182,0.332129767715949
0.239533926170276,0.544736497164793,1,0.577647789061991,0.288906884308503,0.014582798054916,0,0,1,0.448876650503171,0,0,0.497314417257746,0.539782908770948,0.462094071323229,1,0,0,0.146864316299969,0.337499463675239
0.500878351642289,0.68316384939968,0.576961563550714,0.706859509138278,0.502488502000551,0.0314576771238896,0.204768543949329,0.411129927268057,0,0.509186924958214,0.683769102481563,1,0.690010967755472,1,0.689086822693853,1,1,0,1,0
0.824403544993197,0.82528094255411,0.862978855304578,0.836888181037738,0.772512641014716,0.0846767472445751,0.579980814233139,0.664519173165996,0.962572537749529,1,0.87089276659967,1,0.867606440965084,0.891521801542842,0.886740973086593,1,1,1,0.640271429556562,1
0.780474154772621,1,0.827006766018684,0.817453724111578,0.731852952573144,0.0711568572496716,1,0.621421925314486,1,1,0.846037908898436,0.972212396965784,0.84361588848369,1,1,0.856119955205714,0.724329709040484,0,0.583253397619856,1
1,0.740434655328553,0.701897251462953,0.759449895277432,0.608909513589601,0.0450632758971726,0.319220075874235,0.503219250449967,0.900908478396279,0.537862742716602,1,0.951857216666825,0.765943700240174,0.800803475132441,0.776653339198258,0.786730183668586,0.573008681453001,0.287111654282727,0.430110529497666,0.519813678697705
0.178424185073851,0.497612421356813,0.230170309803848,0.532744548571051,0.232738403391835,0.0113686644081609,0.0464099239834518,0.198814289234549,0.506582646501859,0.429754633689463,0.411577385217075,1,0.432673580144685,0,0.387925948064446,0.478052701870369,0,0.0759456202752597,0.11096753511855,0.301870000468957
0.115017792300143,0.432786411106055,0.152330411022566,0.470014631302533,0.168484532333451,0,0.027078647748094,0.149222479517857,0.374794914462149,0,0.323873324531162,0.713176165053829,0.347453501755398,0.382616237061032,0,0.393762388940494,0.104635088367263,0.0526095240121122,0,0
0.502589375260848,0.683916292856653,0.578617107831888,1,0.503833145892564,0.0315994474401943,0.205984295739734,0,0.837187884741938,1,1,0.927551200839098,0,1,0,0.719359670301132,0.445846491752508,1,1,0
0.101328195163815,0.415154088953867,0.135016549710932,0.452738682317132,0.153415553544108,0,0.0232892678162678,0.13743839413119,0,1,0,1,0.32526576254878,0.358739570777647,0,0.37130408284538,0,0,0.0661340932640727,0.244633721974433
0,0.447679216503541,0,0.484532341499095,0.181986202039849,0,0,0,0.404420213247741,1,0.343363511812159,0.732214550205245,0,0.403052448905929,1,0.412916648947114,0,0,0,0
0.51845701752555,0.690851640980869,0.59388935746101,0.713941792374381,0.516304278225397,0.032944668963726,0.217519289839925,0.422687145053822,0.846056433036696,0.512857534476023,0.694877063242078,1,0,1,0,0.727860893528559,0.460649826458983,1,1,0.466923102361469
0.574945675358329,0.715058986314494,0.647105304252595,0.736193755548839,0.56084165151159,0.0382495987974177,1,1,0.874696298686298,0.524752756587924,0.729341713599822,0.941737269165128,0.732843511066033,0,1,0.757045557830777,0.514232370742389,0.249366947027153,0,0.492030588194702
0.12826312886984,0.448327489706176,0.168904850176994,0.485162786679828,0,0,0.0308732581490811,0.160184495929301,1,0,0.344221521924311,1,0,0,0,0.413753874944864,0,0,0,0.266963170961726
0.563700630207115,0.710285888822861,0.636652044406823,1,0.55194550467509,0.037121351843878,0.253180736418209,0.453008147737991,0.869332959667797,0.522363828624235,0.722614311659547,0.939693521720745,0.726512795412658,1,0.731555231182721,0.751354357068005,1,0.242868966507556,0,0.486977072680667
0.330881225936793,0.600766513411046,1,0.630379810393855,0.366738505974109,0.0196998154557409,0.106493220008353,0,1,0.472271338802624,0.562004434737921,0.878539232070801,0.575639709344571,0,1,0.613718036089725,0,0,0,0.383296583852161
1,0.609803479189636,0.42125227938441,0.638825060474759,0,0,0,0.312748773883004,0.724447435183649,0.476146260380509,0.575464087784594,1,0.588310063589481,1,0.56902421582788,0,0.30583579735646,0,0,1
0,1,0,0,0.286706615475033,0.0144502426118109,0.0670525429195882,0.24018623585304,0.599088138282078,0.44817116905489,0.476679705983444,1,0,0.53733682334526,0.459318347093605,0,0.209684902811146,0.097505893185615,1,1
0.291807972942722,0.57833644070712,0,0.609349186902117,0.334123235898515,0,0.089022718947974,0.276701054978987,0.667627712236221,1,0.528666617278907,0.862106978297217,0.544194473435373,0.587354647014425,1,0.584399325727332,0.257064874710288,0.1181886376297,0.178409939767309,0
0.15094493493103,0.472210154616111,0.1968957858887,0.508304144968421,0.205836375099457,0,0.0376670745777447,0.178141470918265,0.454275306497011,1,0.376358992333623,0.761549437774267,0,0,0,1,0.135632591700766,0.0658909639025684,0.0950094156096071,0.283602413805281
0,0,0.364527680328837,1,0.337047080341367,0.0176419124373912,0.0905066490770982,0.278963691992713,1,0.463655353006186,0,1,1,0.590265867492612,1,0.587109535183356,0,0.119523064956015,0,0.366176187605525
0.45842590820903,0.664151492432081,0.535329453605264,0.68930928601598,0.469089316688034,0.0281239749260551,0.176244305582557,0.383594064980737,0.810294652180585,0,0.656029895830179,0.917450286049776,0.66397645749418,0.705129247579579,0.658506870842515,0.694826026835822,1,0,0.288088792664674,0.440639856593294
0.0597130719796083,0.346497646291135,0.0811703161503208,0.384486498358099,0.103472259861138,0.00496888009651151,0.0126039407281322,0.0975526159774185,0.220597904799019,0.368279795553973,0.220269506826637,0.583847511834487,0,0,0,0,0,0,0.0413279300054107,0.200916681196032
0,0.561006184038612,0.329544086403665,1,0.31025652516023,0.0159006414177046,0.0774833739411268,0,0.634529039312818,0.455575523062402,0.503054228964211,0.848352760691932,1,0.562864187505645,0.488504943270316,0.561620326378263,0.23287547659756,0.10755868295481,0,0.35038374780989
0.607883950099777,0.728967505603076,0.677336139100877,0.748948545840493,0.587041602448689,0.0418018988939592,0,1,0.889539032993845,0,0,0.947436297508453,0.751107922468399,0.787161206884673,1,0.773439014950178,1,1,0.405766056970025,0.50706186327027
1,0.765613150369475,0.754110590989126,0.782468569702794,0.657509629407776,0.0535171643243302,0.385273992891044,0.548107574803339,1,0.551665453279185,0.797985846409787,1,0.797717307908455,0.829687003420898,0.812188277001954,0.815139526853304,0.632950458810169,0.330504547179554,0.487270338958026,1
0.0753154990736672,0.375665897305033,0.10158072349835,0,0.123073379216692,0.00587736123785945,0,0.113394870671557,0.268668674056344,0.380450437754793,0,0.631220416176334,0.277425867612456,0,0.221287095002335,0.322059942998994,0,0.037411580317007,0.0507464320456699,0.219113536500071
0.236494329441542,0.54262323764676,0.298326246069855,0.575645537116539,0.286208483475371,0,0.066841703748024,0,0.598307380916161,0.448011031567368,0.47610933647195,1,0.494382414689592,0.536781230469574,1,0,0,0.0972977113101923,0.145057947114219,0.335849080331954
0.57295178138831,0.714213861490216,1,0,0,0.0380466336635733,0.261019996561079,1,0.873756759740946,1,1,1,1,1,0.737568987900377,0.756040241153565,0.512316059456151,0.248203260222137,0.376025496414972,0
0.84234433122952,0.834555311987481,0.877446470681312,0.845342867542308,0.789875092649766,0,0.61382913133846,0.6837129220123,1,0.595305527678389,1,0.979776701857333,0.877659254425347,1,0.896936163852371,0.886562816204931,1,1,1,0.639649681861165
0.618482174270539,0.73343111803117,1,0.753037701781154,0.595528066606659,0.0430330849559131,0.302645740812368,1,0.894056963147782,0.534171184156815,1,0.949186392790817,1,0.792506187117536,0.766406013663301,0,0.556573245139055,0.276130942519233,0.415114661290223,0.511985828429831
